"gene_id"	"GO.ID"	"GO.names"
"WBGene00000019"	"WBGene00000019"	"GO:0000166, GO:0005524, GO:0006869, GO:0016020, GO:0016021, GO:0016246, GO:0016887, GO:0042626, GO:0043231, GO:0055085"	"nucleotide binding, ATP binding, lipid transport, membrane, integral component of membrane, RNA interference, ATPase activity, ATPase activity, coupled to transmembrane movement of substances, intracellular membrane-bounded organelle, transmembrane transport"
"WBGene00000020"	"WBGene00000020"	"GO:0000166, GO:0005524, GO:0006869, GO:0016020, GO:0016021, GO:0042626, GO:0043231, GO:0055085"	"nucleotide binding, ATP binding, lipid transport, membrane, integral component of membrane, ATPase activity, coupled to transmembrane movement of substances, intracellular membrane-bounded organelle, transmembrane transport"
"WBGene00000022"	"WBGene00000022"	"GO:0000166, GO:0005524, GO:0006869, GO:0016020, GO:0016021, GO:0016887, GO:0042626, GO:0043231, GO:0055085"	"nucleotide binding, ATP binding, lipid transport, membrane, integral component of membrane, ATPase activity, ATPase activity, coupled to transmembrane movement of substances, intracellular membrane-bounded organelle, transmembrane transport"
"WBGene00000023"	"WBGene00000023"	"GO:0000166, GO:0005524, GO:0006869, GO:0016020, GO:0016021, GO:0042626, GO:0043231, GO:0055085"	"nucleotide binding, ATP binding, lipid transport, membrane, integral component of membrane, ATPase activity, coupled to transmembrane movement of substances, intracellular membrane-bounded organelle, transmembrane transport"
"WBGene00000024"	"WBGene00000024"	"GO:0003674, GO:0030176, GO:0030968"	"molecular_function, integral component of endoplasmic reticulum membrane, endoplasmic reticulum unfolded protein response"
"WBGene00000025"	"WBGene00000025"	"GO:0030968"	"endoplasmic reticulum unfolded protein response"
"WBGene00000027"	"WBGene00000027"	"GO:0030968"	"endoplasmic reticulum unfolded protein response"
"WBGene00000028"	"WBGene00000028"	"GO:0030968"	"endoplasmic reticulum unfolded protein response"
"WBGene00000029"	"WBGene00000029"	"GO:0030968, GO:0060465"	"endoplasmic reticulum unfolded protein response, pharynx development"
"WBGene00000030"	"WBGene00000030"	"GO:0005515, GO:0030968, GO:0060465"	"protein binding, endoplasmic reticulum unfolded protein response, pharynx development"
"WBGene00000031"	"WBGene00000031"	"GO:0030968, GO:0060465"	"endoplasmic reticulum unfolded protein response, pharynx development"
"WBGene00000033"	"WBGene00000033"	"GO:0005515, GO:0030968"	"protein binding, endoplasmic reticulum unfolded protein response"
"WBGene00000034"	"WBGene00000034"	"GO:0005515, GO:0030968"	"protein binding, endoplasmic reticulum unfolded protein response"
"WBGene00000035"	"WBGene00000035"	"GO:0001507, GO:0003990, GO:0004104, GO:0005576, GO:0005615, GO:0005886, GO:0006581, GO:0016020, GO:0016787, GO:0030054, GO:0040012, GO:0042135, GO:0042802, GO:0043083, GO:0045202, GO:0052689"	"acetylcholine catabolic process in synaptic cleft, acetylcholinesterase activity, cholinesterase activity, extracellular region, extracellular space, plasma membrane, acetylcholine catabolic process, membrane, hydrolase activity, cell junction, regulation of locomotion, neurotransmitter catabolic process, identical protein binding, synaptic cleft, synapse, carboxylic ester hydrolase activity"
"WBGene00000036"	"WBGene00000036"	"GO:0001507, GO:0003990, GO:0004104, GO:0006581, GO:0007271, GO:0016787, GO:0040012, GO:0042803, GO:0043083"	"acetylcholine catabolic process in synaptic cleft, acetylcholinesterase activity, cholinesterase activity, acetylcholine catabolic process, synaptic transmission, cholinergic, hydrolase activity, regulation of locomotion, protein homodimerization activity, synaptic cleft"
"WBGene00000037"	"WBGene00000037"	"GO:0001507, GO:0002119, GO:0003990, GO:0004104, GO:0006581, GO:0016787, GO:0035188, GO:0042803, GO:0043058, GO:0043083, GO:0046983, GO:0050879"	"acetylcholine catabolic process in synaptic cleft, nematode larval development, acetylcholinesterase activity, cholinesterase activity, acetylcholine catabolic process, hydrolase activity, hatching, protein homodimerization activity, regulation of backward locomotion, synaptic cleft, protein dimerization activity, multicellular organismal movement"
"WBGene00000038"	"WBGene00000038"	"GO:0003990, GO:0004104, GO:0016787, GO:0052689"	"acetylcholinesterase activity, cholinesterase activity, hydrolase activity, carboxylic ester hydrolase activity"
"WBGene00000039"	"WBGene00000039"	"GO:0005575, GO:0006508, GO:0008237, GO:0008241, GO:0042395, GO:0045026, GO:0045138"	"cellular_component, proteolysis, metallopeptidase activity, peptidyl-dipeptidase activity, ecdysis, collagen and cuticulin-based cuticle, plasma membrane fusion, nematode male tail tip morphogenesis"
"WBGene00000040"	"WBGene00000040"	"GO:0003723, GO:0003994, GO:0005737, GO:0005829, GO:0006099, GO:0006879, GO:0008152, GO:0016829, GO:0046872, GO:0051536, GO:0051539, GO:0072350"	"RNA binding, aconitate hydratase activity, cytoplasm, cytosol, tricarboxylic acid cycle, cellular iron ion homeostasis, metabolic process, lyase activity, metal ion binding, iron-sulfur cluster binding, 4 iron, 4 sulfur cluster binding, tricarboxylic acid metabolic process"
"WBGene00000041"	"WBGene00000041"	"GO:0003994, GO:0005739, GO:0006099, GO:0008152, GO:0016829, GO:0046872, GO:0051536, GO:0051539"	"aconitate hydratase activity, mitochondrion, tricarboxylic acid cycle, metabolic process, lyase activity, metal ion binding, iron-sulfur cluster binding, 4 iron, 4 sulfur cluster binding"
"WBGene00000042"	"WBGene00000042"	"GO:0004888, GO:0005216, GO:0005230, GO:0005231, GO:0005886, GO:0006810, GO:0006811, GO:0006937, GO:0007274, GO:0010468, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0040012, GO:0043005, GO:0045202, GO:0045211, GO:0060078, GO:0060079, GO:0098662, GO:0098703"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, excitatory extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, regulation of muscle contraction, neuromuscular synaptic transmission, regulation of gene expression, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, regulation of locomotion, neuron projection, synapse, postsynaptic membrane, regulation of postsynaptic membrane potential, excitatory postsynaptic potential, inorganic cation transmembrane transport, calcium ion import across plasma membrane"
"WBGene00000043"	"WBGene00000043"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0045202, GO:0045211, GO:0060078, GO:0060079, GO:0098662, GO:0098703"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, synapse, postsynaptic membrane, regulation of postsynaptic membrane potential, excitatory postsynaptic potential, inorganic cation transmembrane transport, calcium ion import across plasma membrane"
"WBGene00000044"	"WBGene00000044"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport"
"WBGene00000045"	"WBGene00000045"	"GO:0004888, GO:0005216, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000046"	"WBGene00000046"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport"
"WBGene00000047"	"WBGene00000047"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000048"	"WBGene00000048"	"GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000049"	"WBGene00000049"	"GO:0004888, GO:0005216, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000050"	"WBGene00000050"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0007165, GO:0007268, GO:0015464, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, signal transduction, chemical synaptic transmission, acetylcholine receptor activity, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000051"	"WBGene00000051"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0006937, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079, GO:0098703"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, regulation of muscle contraction, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential, calcium ion import across plasma membrane"
"WBGene00000053"	"WBGene00000053"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000054"	"WBGene00000054"	"GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0007165, GO:0007268, GO:0015464, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, signal transduction, chemical synaptic transmission, acetylcholine receptor activity, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000055"	"WBGene00000055"	"GO:0004888, GO:0005216, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0042995, GO:0045202, GO:0045211, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, cell projection, synapse, postsynaptic membrane, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000056"	"WBGene00000056"	"GO:0004888, GO:0005216, GO:0005230, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0034220, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, transport, ion transport, membrane, integral component of membrane, ion transmembrane transport, transmembrane transport"
"WBGene00000057"	"WBGene00000057"	"GO:0004888, GO:0005216, GO:0005230, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0034220, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, transport, ion transport, membrane, integral component of membrane, ion transmembrane transport, transmembrane transport"
"WBGene00000058"	"WBGene00000058"	"GO:0004888, GO:0005216, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000059"	"WBGene00000059"	"GO:0004888, GO:0005216, GO:0005230, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0034220, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, transport, ion transport, membrane, integral component of membrane, ion transmembrane transport, transmembrane transport"
"WBGene00000060"	"WBGene00000060"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0022848, GO:0030054, GO:0034220, GO:0045202, GO:0045211, GO:0055085, GO:0060078, GO:0060079"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, acetylcholine-gated cation-selective channel activity, cell junction, ion transmembrane transport, synapse, postsynaptic membrane, transmembrane transport, regulation of postsynaptic membrane potential, excitatory postsynaptic potential"
"WBGene00000061"	"WBGene00000061"	"GO:0005216, GO:0005230, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0034220, GO:0055085"	"ion channel activity, extracellular ligand-gated ion channel activity, transport, ion transport, membrane, integral component of membrane, ion transmembrane transport, transmembrane transport"
"WBGene00000062"	"WBGene00000062"	"GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006810, GO:0006811, GO:0016020, GO:0016021, GO:0034220, GO:0055085"	"transmembrane signaling receptor activity, ion channel activity, extracellular ligand-gated ion channel activity, plasma membrane, transport, ion transport, membrane, integral component of membrane, ion transmembrane transport, transmembrane transport"
"WBGene00000063"	"WBGene00000063"	"GO:0000166, GO:0000281, GO:0005200, GO:0005524, GO:0005737, GO:0005856, GO:0007517, GO:0009792, GO:0030036, GO:0030866"	"nucleotide binding, mitotic cytokinesis, structural constituent of cytoskeleton, ATP binding, cytoplasm, cytoskeleton, muscle organ development, embryo development ending in birth or egg hatching, actin cytoskeleton organization, cortical actin cytoskeleton organization"
"WBGene00000064"	"WBGene00000064"	"GO:0000166, GO:0000281, GO:0005524, GO:0005737, GO:0005856, GO:0005884, GO:0005938, GO:0007111, GO:0009792, GO:0030866, GO:0040011"	"nucleotide binding, mitotic cytokinesis, ATP binding, cytoplasm, cytoskeleton, actin filament, cell cortex, meiosis II cytokinesis, embryo development ending in birth or egg hatching, cortical actin cytoskeleton organization, locomotion"
"WBGene00000065"	"WBGene00000065"	"GO:0000166, GO:0000281, GO:0005524, GO:0005737, GO:0005856, GO:0005865, GO:0009792, GO:0030866"	"nucleotide binding, mitotic cytokinesis, ATP binding, cytoplasm, cytoskeleton, striated muscle thin filament, embryo development ending in birth or egg hatching, cortical actin cytoskeleton organization"
"WBGene00000066"	"WBGene00000066"	"GO:0000166, GO:0005200, GO:0005524, GO:0005737, GO:0005856, GO:0005865, GO:0030036, GO:0045121"	"nucleotide binding, structural constituent of cytoskeleton, ATP binding, cytoplasm, cytoskeleton, striated muscle thin filament, actin cytoskeleton organization, membrane raft"
"WBGene00000067"	"WBGene00000067"	"GO:0000166, GO:0002119, GO:0005524, GO:0030033, GO:0030536, GO:0035148, GO:0097516, GO:1904000, GO:1990357"	"nucleotide binding, nematode larval development, ATP binding, microvillus assembly, larval feeding behavior, tube formation, microvillar actin bundle, positive regulation of eating behavior, terminal web"
"WBGene00000068"	"WBGene00000068"	"GO:0002119, GO:0004016, GO:0004383, GO:0005886, GO:0006171, GO:0006182, GO:0006935, GO:0007188, GO:0007614, GO:0008074, GO:0008219, GO:0009190, GO:0016020, GO:0016021, GO:0016849, GO:0030431, GO:0035556, GO:0040017, GO:0072375, GO:2000292"	"nematode larval development, adenylate cyclase activity, guanylate cyclase activity, plasma membrane, cAMP biosynthetic process, cGMP biosynthetic process, chemotaxis, adenylate cyclase-modulating G-protein coupled receptor signaling pathway, short-term memory, guanylate cyclase complex, soluble, cell death, cyclic nucleotide biosynthetic process, membrane, integral component of membrane, phosphorus-oxygen lyase activity, sleep, intracellular signal transduction, positive regulation of locomotion, medium-term memory, regulation of defecation"
"WBGene00000069"	"WBGene00000069"	"GO:0000166, GO:0002119, GO:0004016, GO:0004383, GO:0005886, GO:0006171, GO:0006182, GO:0007188, GO:0008074, GO:0009190, GO:0016020, GO:0016021, GO:0016829, GO:0016849, GO:0035556"	"nucleotide binding, nematode larval development, adenylate cyclase activity, guanylate cyclase activity, plasma membrane, cAMP biosynthetic process, cGMP biosynthetic process, adenylate cyclase-modulating G-protein coupled receptor signaling pathway, guanylate cyclase complex, soluble, cyclic nucleotide biosynthetic process, membrane, integral component of membrane, lyase activity, phosphorus-oxygen lyase activity, intracellular signal transduction"
"WBGene00000070"	"WBGene00000070"	"GO:0004016, GO:0004383, GO:0005886, GO:0006171, GO:0006182, GO:0007189, GO:0008074, GO:0008294, GO:0009190, GO:0016020, GO:0016021, GO:0016849, GO:0019933, GO:0090038, GO:2000114"	"adenylate cyclase activity, guanylate cyclase activity, plasma membrane, cAMP biosynthetic process, cGMP biosynthetic process, adenylate cyclase-activating G-protein coupled receptor signaling pathway, guanylate cyclase complex, soluble, calcium- and calmodulin-responsive adenylate cyclase activity, cyclic nucleotide biosynthetic process, membrane, integral component of membrane, phosphorus-oxygen lyase activity, cAMP-mediated signaling, negative regulation of protein kinase C signaling, regulation of establishment of cell polarity"
"WBGene00000071"	"WBGene00000071"	"GO:0000166, GO:0004016, GO:0004383, GO:0005886, GO:0006171, GO:0006182, GO:0007165, GO:0007186, GO:0008074, GO:0009190, GO:0016020, GO:0016021, GO:0016829, GO:0016849, GO:0035556, GO:1900195"	"nucleotide binding, adenylate cyclase activity, guanylate cyclase activity, plasma membrane, cAMP biosynthetic process, cGMP biosynthetic process, signal transduction, G-protein coupled receptor signaling pathway, guanylate cyclase complex, soluble, cyclic nucleotide biosynthetic process, membrane, integral component of membrane, lyase activity, phosphorus-oxygen lyase activity, intracellular signal transduction, positive regulation of oocyte maturation"
"WBGene00000072"	"WBGene00000072"	"GO:0003779, GO:0005737, GO:0005856, GO:0005886, GO:0007613, GO:0007614, GO:0007616, GO:0014069, GO:0016020, GO:0051015, GO:0051016, GO:0097120, GO:2000249"	"actin binding, cytoplasm, cytoskeleton, plasma membrane, memory, short-term memory, long-term memory, postsynaptic density, membrane, actin filament binding, barbed-end actin filament capping, receptor localization to synapse, regulation of actin cytoskeleton reorganization"
"WBGene00000073"	"WBGene00000073"	"GO:0003779, GO:0005737, GO:0005856, GO:0005886, GO:0016020"	"actin binding, cytoplasm, cytoskeleton, plasma membrane, membrane"
"WBGene00000074"	"WBGene00000074"	"GO:0004222, GO:0006508, GO:0007229, GO:0008233, GO:0008237, GO:0016020, GO:0016021, GO:0046872"	"metalloendopeptidase activity, proteolysis, integrin-mediated signaling pathway, peptidase activity, metallopeptidase activity, membrane, integral component of membrane, metal ion binding"
"WBGene00000075"	"WBGene00000075"	"GO:0001708, GO:0005886, GO:0006508, GO:0006509, GO:0007219, GO:0008233, GO:0008237, GO:0016020, GO:0016021, GO:0016787, GO:0046872"	"cell fate specification, plasma membrane, proteolysis, membrane protein ectodomain proteolysis, Notch signaling pathway, peptidase activity, metallopeptidase activity, membrane, integral component of membrane, hydrolase activity, metal ion binding"
"WBGene00000078"	"WBGene00000078"	"GO:0022401"	"negative adaptation of signaling pathway"
"WBGene00000079"	"WBGene00000079"	"GO:0003723, GO:0003726, GO:0004000, GO:0005634, GO:0006382, GO:0006396, GO:0022626, GO:0040028, GO:0050921"	"RNA binding, double-stranded RNA adenosine deaminase activity, adenosine deaminase activity, nucleus, adenosine to inosine editing, RNA processing, cytosolic ribosome, regulation of vulval development, positive regulation of chemotaxis"
"WBGene00000080"	"WBGene00000080"	"GO:0003723, GO:0003726, GO:0004000, GO:0005634, GO:0005737, GO:0006382, GO:0006396, GO:0006397, GO:0016787, GO:0046872, GO:0050921"	"RNA binding, double-stranded RNA adenosine deaminase activity, adenosine deaminase activity, nucleus, cytoplasm, adenosine to inosine editing, RNA processing, mRNA processing, hydrolase activity, metal ion binding, positive regulation of chemotaxis"
"WBGene00000081"	"WBGene00000081"	"GO:0003824, GO:0005777, GO:0006629, GO:0008609, GO:0008610, GO:0008611, GO:0016614, GO:0016740, GO:0050660, GO:0055114, GO:0071949"	"catalytic activity, peroxisome, lipid metabolic process, alkylglycerone-phosphate synthase activity, lipid biosynthetic process, ether lipid biosynthetic process, oxidoreductase activity, acting on CH-OH group of donors, transferase activity, flavin adenine dinucleotide binding, oxidation-reduction process, FAD binding"
"WBGene00000082"	"WBGene00000082"	"GO:0004222, GO:0005576, GO:0006508, GO:0008233, GO:0008237, GO:0016787, GO:0046872"	"metalloendopeptidase activity, extracellular region, proteolysis, peptidase activity, metallopeptidase activity, hydrolase activity, metal ion binding"
