"gene_id"	"GO.ID"	"GO.names"
"FBgn0000044"	"FBgn0000044"	"GO:0000281, GO:0005886, GO:0015629, GO:0050807, GO:0098529"	"mitotic cytokinesis, plasma membrane, actin cytoskeleton, regulation of synapse organization, neuromuscular junction development, skeletal muscle fiber"
"FBgn0000045"	"FBgn0000045"	"GO:0000281, GO:0015629"	"mitotic cytokinesis, actin cytoskeleton"
"FBgn0000046"	"FBgn0000046"	"GO:0000281, GO:0015629, GO:0016573, GO:0035267, GO:0043486"	"mitotic cytokinesis, actin cytoskeleton, histone acetylation, NuA4 histone acetyltransferase complex, histone exchange"
"FBgn0000047"	"FBgn0000047"	"GO:0000281, GO:0005865, GO:0014866, GO:0015629, GO:0071689"	"mitotic cytokinesis, striated muscle thin filament, skeletal myofibril assembly, actin cytoskeleton, muscle thin filament assembly"
"FBgn0000052"	"FBgn0000052"	"GO:0004642, GO:0005737, GO:0006164, GO:0006189, GO:0009113"	"phosphoribosylformylglycinamidine synthase activity, cytoplasm, purine nucleotide biosynthetic process, 'de novo' IMP biosynthetic process, purine nucleobase biosynthetic process"
"FBgn0000053"	"FBgn0000053"	"GO:0004637, GO:0004641, GO:0004644, GO:0005524, GO:0005829, GO:0006164, GO:0006189, GO:0009113, GO:0046084, GO:0046872"	"phosphoribosylamine-glycine ligase activity, phosphoribosylformylglycinamidine cyclo-ligase activity, phosphoribosylglycinamide formyltransferase activity, ATP binding, cytosol, purine nucleotide biosynthetic process, 'de novo' IMP biosynthetic process, purine nucleobase biosynthetic process, adenine biosynthetic process, metal ion binding"
"FBgn0000055"	"FBgn0000055"	"GO:0004022, GO:0005829, GO:0006066, GO:0006067, GO:0006069, GO:0006117, GO:0008774, GO:0016491, GO:0032991, GO:0042803, GO:0046164, GO:0048149, GO:0055114"	"alcohol dehydrogenase (NAD+) activity, cytosol, alcohol metabolic process, ethanol metabolic process, ethanol oxidation, acetaldehyde metabolic process, acetaldehyde dehydrogenase (acetylating) activity, oxidoreductase activity, protein-containing complex, protein homodimerization activity, alcohol catabolic process, behavioral response to ethanol, oxidation-reduction process"
"FBgn0000056"	"FBgn0000056"	"GO:0004022, GO:0005575, GO:0016491, GO:0051287"	"alcohol dehydrogenase (NAD+) activity, cellular_component, oxidoreductase activity, NAD binding"
"FBgn0000057"	"FBgn0000057"	"GO:0003674, GO:0005737, GO:0005975, GO:0006629, GO:0009269, GO:0010883, GO:0010891, GO:0045717, GO:0080008"	"molecular_function, cytoplasm, carbohydrate metabolic process, lipid metabolic process, response to desiccation, regulation of lipid storage, negative regulation of sequestering of triglyceride, negative regulation of fatty acid biosynthetic process, Cul4-RING E3 ubiquitin ligase complex"
"FBgn0000061"	"FBgn0000061"	"GO:0000977, GO:0000981, GO:0005634, GO:0007480, GO:0022416, GO:0032991, GO:0035015, GO:0035218, GO:0043565, GO:0045892, GO:0048800"	"RNA polymerase II regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, imaginal disc-derived leg morphogenesis, chaeta development, protein-containing complex, elongation of arista core, leg disc development, sequence-specific DNA binding, negative regulation of transcription, DNA-templated, antennal morphogenesis"
"FBgn0000063"	"FBgn0000063"	"GO:0000705, GO:0000776, GO:0000942, GO:0001666, GO:0005524, GO:0005813, GO:0005819, GO:0007094, GO:0007143, GO:0016321, GO:0032837, GO:0033046, GO:0033316, GO:0043060, GO:0044779, GO:0048133, GO:0051321"	"achiasmate meiosis I, kinetochore, condensed nuclear chromosome outer kinetochore, response to hypoxia, ATP binding, centrosome, spindle, mitotic spindle assembly checkpoint, female meiotic nuclear division, female meiosis chromosome segregation, distributive segregation, negative regulation of sister chromatid segregation, meiotic spindle assembly checkpoint, meiotic metaphase I plate congression, meiotic spindle checkpoint, male germ-line stem cell asymmetric division, meiotic cell cycle"
"FBgn0000064"	"FBgn0000064"	"GO:0004332, GO:0005829, GO:0006096, GO:0007498, GO:0030018, GO:0030388, GO:0031430, GO:0042593"	"fructose-bisphosphate aldolase activity, cytosol, glycolytic process, mesoderm development, Z disc, fructose 1,6-bisphosphate metabolic process, M band, glucose homeostasis"
"FBgn0000071"	"FBgn0000071"	"GO:0005886"	"plasma membrane"
"FBgn0000075"	"FBgn0000075"	"GO:0006520, GO:0006584, GO:0016831, GO:0019239, GO:0030170, GO:0036468, GO:0040003, GO:0042335, GO:0042424"	"cellular amino acid metabolic process, catecholamine metabolic process, carboxy-lyase activity, deaminase activity, pyridoxal phosphate binding, L-dopa decarboxylase activity, chitin-based cuticle development, cuticle development, catecholamine catabolic process"
"FBgn0000077"	"FBgn0000077"	"GO:0001713, GO:0007398, GO:0007498, GO:0044214, GO:0045747, GO:0046331"	"ectodermal cell fate determination, ectoderm development, mesoderm development, spanning component of plasma membrane, positive regulation of Notch signaling pathway, lateral inhibition"
"FBgn0000078"	"FBgn0000078"	"GO:0003824, GO:0004556, GO:0005509, GO:0005975, GO:0043169"	"catalytic activity, alpha-amylase activity, calcium ion binding, carbohydrate metabolic process, cation binding"
"FBgn0000079"	"FBgn0000079"	"GO:0003824, GO:0004556, GO:0005509, GO:0005576, GO:0005975, GO:0043169"	"catalytic activity, alpha-amylase activity, calcium ion binding, extracellular region, carbohydrate metabolic process, cation binding"
"FBgn0000083"	"FBgn0000083"	"GO:0005509, GO:0005515, GO:0005544, GO:0005938, GO:0010797, GO:0012505, GO:0030011, GO:0030507, GO:0032509, GO:0048190"	"calcium ion binding, protein binding, calcium-dependent phospholipid binding, cell cortex, regulation of multivesicular body size involved in endosome transport, endomembrane system, maintenance of cell polarity, spectrin binding, endosome transport via multivesicular body sorting pathway, wing disc dorsal/ventral pattern formation"
"FBgn0000084"	"FBgn0000084"	"GO:0005509, GO:0005544, GO:0008150, GO:0016020"	"calcium ion binding, calcium-dependent phospholipid binding, biological_process, membrane"
"FBgn0000092"	"FBgn0000092"	"GO:0005615, GO:0007623"	"extracellular space, circadian rhythm"
"FBgn0000094"	"FBgn0000094"	"GO:0005576, GO:0005615, GO:0006962, GO:0009617, GO:0032504, GO:0050830"	"extracellular region, extracellular space, male-specific antibacterial humoral response, response to bacterium, multicellular organism reproduction, defense response to Gram-positive bacterium"
"FBgn0000097"	"FBgn0000097"	"GO:0000122, GO:0000978, GO:0000981, GO:0001012, GO:0001227, GO:0001709, GO:0001751, GO:0003677, GO:0005515, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0006357, GO:0006897, GO:0007173, GO:0007298, GO:0007391, GO:0007464, GO:0008340, GO:0008406, GO:0008543, GO:0010628, GO:0010629, GO:0019904, GO:0030154, GO:0035155, GO:0035157, GO:0045500, GO:0045677, GO:0045892, GO:0048010, GO:0048747, GO:0050767, GO:0060233, GO:0090090, GO:0090175, GO:1903688"	"negative regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II regulatory region DNA binding, DNA-binding transcription repressor activity, RNA polymerase II-specific, cell fate determination, compound eye photoreceptor cell differentiation, DNA binding, protein binding, nucleus, nucleoplasm, cytoplasm, cytosol, regulation of transcription by RNA polymerase II, endocytosis, epidermal growth factor receptor signaling pathway, border follicle cell migration, dorsal closure, R3/R4 cell fate commitment, determination of adult lifespan, gonad development, fibroblast growth factor receptor signaling pathway, positive regulation of gene expression, negative regulation of gene expression, protein domain specific binding, cell differentiation, negative regulation of terminal cell fate specification, open tracheal system, negative regulation of fusion cell fate specification, sevenless signaling pathway, negative regulation of R7 cell differentiation, negative regulation of transcription, DNA-templated, vascular endothelial growth factor receptor signaling pathway, muscle fiber development, regulation of neurogenesis, oenocyte delamination, negative regulation of canonical Wnt signaling pathway, regulation of establishment of planar polarity, positive regulation of border follicle cell migration"
"FBgn0000100"	"FBgn0000100"	"GO:0000027, GO:0002181, GO:0003735, GO:0022625, GO:0022626, GO:0052720, GO:0070180"	"ribosomal large subunit assembly, cytoplasmic translation, structural constituent of ribosome, cytosolic large ribosomal subunit, cytosolic ribosome, class II DNA-(apurinic or apyrimidinic site) endonuclease activity, large ribosomal subunit rRNA binding"
"FBgn0000108"	"FBgn0000108"	"GO:0005515, GO:0005576, GO:0005886, GO:0007422, GO:0007611, GO:0007614, GO:0007616, GO:0008201, GO:0016021, GO:0016319, GO:0046914, GO:0048678, GO:0048812, GO:0050808, GO:0051602, GO:1901215"	"protein binding, extracellular region, plasma membrane, peripheral nervous system development, learning or memory, short-term memory, long-term memory, heparin binding, integral component of membrane, mushroom body development, transition metal ion binding, response to axon injury, neuron projection morphogenesis, synapse organization, response to electrical stimulus, negative regulation of neuron death"
"FBgn0000109"	"FBgn0000109"	"GO:0002055, GO:0003999, GO:0005737, GO:0006168, GO:0009116, GO:0016208, GO:0044209"	"adenine binding, adenine phosphoribosyltransferase activity, cytoplasm, adenine salvage, nucleoside metabolic process, AMP binding, AMP salvage"
"FBgn0000114"	"FBgn0000114"	"GO:0000381, GO:0003723, GO:0003729, GO:0003730, GO:0005515, GO:0005634, GO:0005737, GO:0006376, GO:0007281, GO:0007319, GO:0014881, GO:0016604, GO:0017148, GO:0031536, GO:0031965, GO:0036099, GO:0043186, GO:0045214, GO:0048477, GO:1990904, GO:2000738"	"regulation of alternative mRNA splicing, via spliceosome, RNA binding, mRNA binding, mRNA 3'-UTR binding, protein binding, nucleus, cytoplasm, mRNA splice site selection, germ cell development, negative regulation of oskar mRNA translation, regulation of myofibril size, nuclear body, negative regulation of translation, positive regulation of exit from mitosis, nuclear membrane, female germ-line stem cell population maintenance, P granule, sarcomere organization, oogenesis, ribonucleoprotein complex, positive regulation of stem cell differentiation"
"FBgn0000115"	"FBgn0000115"	"GO:0003924, GO:0005515, GO:0005525, GO:0005737, GO:0005794, GO:0005802, GO:0006886, GO:0007030, GO:0007269, GO:0007431, GO:0016192, GO:0019904, GO:0030334, GO:0033227, GO:0033363, GO:0034067, GO:0035220, GO:0048488, GO:0060628, GO:0070861, GO:0090158, GO:1903292"	"GTPase activity, protein binding, GTP binding, cytoplasm, Golgi apparatus, trans-Golgi network, intracellular protein transport, Golgi organization, neurotransmitter secretion, salivary gland development, vesicle-mediated transport, protein domain specific binding, regulation of cell migration, dsRNA transport, secretory granule organization, protein localization to Golgi apparatus, wing disc development, synaptic vesicle endocytosis, regulation of ER to Golgi vesicle-mediated transport, regulation of protein exit from endoplasmic reticulum, endoplasmic reticulum membrane organization, protein localization to Golgi membrane"
"FBgn0000116"	"FBgn0000116"	"GO:0004054, GO:0004111, GO:0005576, GO:0005737, GO:0005829, GO:0005886, GO:0016301, GO:0016310, GO:0046314"	"arginine kinase activity, creatine kinase activity, extracellular region, cytoplasm, cytosol, plasma membrane, kinase activity, phosphorylation, phosphocreatine biosynthetic process"
"FBgn0000117"	"FBgn0000117"	"GO:0000122, GO:0000902, GO:0001709, GO:0001745, GO:0003713, GO:0005515, GO:0005634, GO:0005886, GO:0005912, GO:0005915, GO:0007155, GO:0007367, GO:0007370, GO:0007391, GO:0007399, GO:0007472, GO:0007507, GO:0007616, GO:0008134, GO:0008587, GO:0014019, GO:0016324, GO:0016342, GO:0019900, GO:0019903, GO:0030139, GO:0030424, GO:0035017, GO:0035019, GO:0035147, GO:0035153, GO:0035257, GO:0035293, GO:0045186, GO:0045294, GO:0045296, GO:0045893, GO:0045944, GO:0046530, GO:0046667, GO:0048477, GO:0048526, GO:0048754, GO:0060070, GO:0060232, GO:0060250, GO:0060914, GO:0071896, GO:0072659, GO:0090254, GO:0098609, GO:1990907"	"negative regulation of transcription by RNA polymerase II, cell morphogenesis, cell fate determination, compound eye morphogenesis, transcription coactivator activity, protein binding, nucleus, plasma membrane, adherens junction, zonula adherens, cell adhesion, segment polarity determination, ventral furrow formation, dorsal closure, nervous system development, wing disc morphogenesis, heart development, long-term memory, transcription factor binding, imaginal disc-derived wing margin morphogenesis, neuroblast development, apical plasma membrane, catenin complex, kinase binding, protein phosphatase binding, endocytic vesicle, axon, cuticle pattern formation, somatic stem cell population maintenance, branch fusion, open tracheal system, epithelial cell type specification, open tracheal system, nuclear hormone receptor binding, chitin-based larval cuticle pattern formation, zonula adherens assembly, alpha-catenin binding, cadherin binding, positive regulation of transcription, DNA-templated, positive regulation of transcription by RNA polymerase II, photoreceptor cell differentiation, compound eye retinal cell programmed cell death, oogenesis, imaginal disc-derived wing expansion, branching morphogenesis of an epithelial tube, canonical Wnt signaling pathway, delamination, germ-line stem-cell niche homeostasis, heart formation, protein localization to adherens junction, protein localization to plasma membrane, cell elongation involved in imaginal disc-derived wing morphogenesis, cell-cell adhesion, beta-catenin-TCF complex"
"FBgn0000119"	"FBgn0000119"	"GO:0001745, GO:0005515, GO:0005769, GO:0005770, GO:0005886, GO:0007367, GO:0007399, GO:0007616, GO:0008587, GO:0015026, GO:0017147, GO:0035223, GO:0042813, GO:0048076, GO:0060070, GO:0090254"	"compound eye morphogenesis, protein binding, early endosome, late endosome, plasma membrane, segment polarity determination, nervous system development, long-term memory, imaginal disc-derived wing margin morphogenesis, coreceptor activity, Wnt-protein binding, leg disc pattern formation, Wnt-activated receptor activity, regulation of compound eye pigmentation, canonical Wnt signaling pathway, cell elongation involved in imaginal disc-derived wing morphogenesis"
"FBgn0000120"	"FBgn0000120"	"GO:0001664, GO:0002031, GO:0002032, GO:0002046, GO:0005737, GO:0006897, GO:0007608, GO:0016028, GO:0016059, GO:0016060, GO:0045494"	"G protein-coupled receptor binding, G protein-coupled receptor internalization, desensitization of G protein-coupled receptor signaling pathway by arrestin, opsin binding, cytoplasm, endocytosis, sensory perception of smell, rhabdomere, deactivation of rhodopsin mediated signaling, metarhodopsin inactivation, photoreceptor cell maintenance"
"FBgn0000121"	"FBgn0000121"	"GO:0001664, GO:0002031, GO:0002032, GO:0002046, GO:0005515, GO:0005737, GO:0007605, GO:0007608, GO:0016028, GO:0016029, GO:0016059, GO:0016060, GO:0016062, GO:0045494"	"G protein-coupled receptor binding, G protein-coupled receptor internalization, desensitization of G protein-coupled receptor signaling pathway by arrestin, opsin binding, protein binding, cytoplasm, sensory perception of sound, sensory perception of smell, rhabdomere, subrhabdomeral cisterna, deactivation of rhodopsin mediated signaling, metarhodopsin inactivation, adaptation of rhodopsin mediated signaling, photoreceptor cell maintenance"
"FBgn0000137"	"FBgn0000137"	"GO:0000977, GO:0003677, GO:0003700, GO:0005634, GO:0006357, GO:0007399, GO:0007400, GO:0007417, GO:0007422, GO:0007423, GO:0008134, GO:0008407, GO:0022416, GO:0030182, GO:0042803, GO:0045839, GO:0045944, GO:0046982, GO:0050767, GO:0061331, GO:0061382, GO:0090575, GO:2000177"	"RNA polymerase II regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, nucleus, regulation of transcription by RNA polymerase II, nervous system development, neuroblast fate determination, central nervous system development, peripheral nervous system development, sensory organ development, transcription factor binding, chaeta morphogenesis, chaeta development, neuron differentiation, protein homodimerization activity, negative regulation of mitotic nuclear division, positive regulation of transcription by RNA polymerase II, protein heterodimerization activity, regulation of neurogenesis, epithelial cell proliferation involved in Malpighian tubule morphogenesis, Malpighian tubule tip cell differentiation, RNA polymerase II transcription factor complex, regulation of neural precursor cell proliferation"
"FBgn0000139"	"FBgn0000139"	"GO:0002168, GO:0003677, GO:0005515, GO:0005634, GO:0005700, GO:0005703, GO:0006357, GO:0007420, GO:0007444, GO:0007474, GO:0007476, GO:0010628, GO:0010629, GO:0019899, GO:0033128, GO:0035075, GO:0035209, GO:0042800, GO:0044212, GO:0044665, GO:0044666, GO:0048096, GO:0048188, GO:0048813, GO:0051568, GO:0051571"	"instar larval development, DNA binding, protein binding, nucleus, polytene chromosome, polytene chromosome puff, regulation of transcription by RNA polymerase II, brain development, imaginal disc development, imaginal disc-derived wing vein specification, imaginal disc-derived wing morphogenesis, positive regulation of gene expression, negative regulation of gene expression, enzyme binding, negative regulation of histone phosphorylation, response to ecdysone, pupal development, histone methyltransferase activity (H3-K4 specific), transcription regulatory region DNA binding, MLL1/2 complex, MLL3/4 complex, chromatin-mediated maintenance of transcription, Set1C/COMPASS complex, dendrite morphogenesis, histone H3-K4 methylation, positive regulation of histone H3-K4 methylation"
"FBgn0000140"	"FBgn0000140"	"GO:0000132, GO:0000226, GO:0000922, GO:0005516, GO:0005813, GO:0005815, GO:0005875, GO:0007051, GO:0007052, GO:0007097, GO:0007282, GO:0008017, GO:0030037, GO:0030706, GO:0030723, GO:0030954, GO:0032027, GO:0048132, GO:0048477, GO:0048854, GO:0051295, GO:0051383, GO:0051642"	"establishment of mitotic spindle orientation, microtubule cytoskeleton organization, spindle pole, calmodulin binding, centrosome, microtubule organizing center, microtubule associated complex, spindle organization, mitotic spindle organization, nuclear migration, cystoblast division, microtubule binding, actin filament reorganization involved in cell cycle, germarium-derived oocyte differentiation, ovarian fusome organization, astral microtubule nucleation, myosin light chain binding, female germ-line stem cell asymmetric division, oogenesis, brain morphogenesis, establishment of meiotic spindle localization, kinetochore organization, centrosome localization"
"FBgn0000146"	"FBgn0000146"	"GO:0000398, GO:0001556, GO:0003723, GO:0005737, GO:0006342, GO:0007076, GO:0007279, GO:0007317, GO:0007318, GO:0010529, GO:0016246, GO:0030423, GO:0030717, GO:0031047, GO:0034584, GO:0035282, GO:0043186, GO:0045089, GO:0046011, GO:0046012, GO:0046594, GO:0046843, GO:0048477, GO:0050829, GO:0060213, GO:0071011, GO:0071013"	"mRNA splicing, via spliceosome, oocyte maturation, RNA binding, cytoplasm, chromatin silencing, mitotic chromosome condensation, pole cell formation, regulation of pole plasm oskar mRNA localization, pole plasm protein localization, negative regulation of transposition, RNA interference, targeting of mRNA for destruction involved in RNA interference, oocyte karyosome formation, gene silencing by RNA, piRNA binding, segmentation, P granule, positive regulation of innate immune response, regulation of oskar mRNA translation, positive regulation of oskar mRNA translation, maintenance of pole plasm mRNA location, dorsal appendage formation, oogenesis, defense response to Gram-negative bacterium, positive regulation of nuclear-transcribed mRNA poly(A) tail shortening, precatalytic spliceosome, catalytic step 2 spliceosome"
